,"b","a","Z","Y","X","W","V","U","T","S","R","Q","P","O","N","M","L","K","B","}","D","k","0","l","1","m","2","n","3","o","4","C","6","q","p","5","A","{","z","y",">","x","=","w","<","v",";","u","t","9","s","8","r","7","!",".","i","E","(","c","F",")","d","*","e","+","f",",","g","-","h","/","j","G","H","I","J",
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,,,,,,,,,,,,,,,,,,,,,,751,,755,,757,,759,,754,,758,,,756,,,,,,,,,,,,,,760,,753,,752,,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,657,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
651,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
665,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
717,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
720,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
718,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
719,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
697,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
695,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
706,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
696,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
708,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
709,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
707,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
702,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
699,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
710,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
704,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
700,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
703,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
705,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
701,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
727,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
723,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
726,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
730,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
653,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
658,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
652,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
649,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
661,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
654,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
712,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
660,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
714,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
656,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
724,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
721,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
722,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
725,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
728,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
729,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
711,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
713,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
716,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
655,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
668,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
673,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
692,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
685,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
690,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
691,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
678,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
680,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
682,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
675,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
679,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
689,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
674,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
676,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
677,651,665,717,720,718,719,697,695,706,696,708,709,707,702,699,710,704,700,713,,716,655,730,668,726,673,723,692,727,685,724,715,722,691,690,721,711,,677,676,,674,,689,,679,,675,682,729,680,728,678,725,,,656,714,,660,712,,654,,661,,649,,652,,658,,653,701,698,705,703,
